president,year,duration
Lyndon B. Johnson,1966,50
Lyndon B. Johnson,1967,71
Lyndon B. Johnson,1968,50
Lyndon B. Johnson,1969,43
Richard M. Nixon,1970,36
Richard M. Nixon,1971,33
Richard M. Nixon,1972,28
Richard M. Nixon,1974,42
Gerald R. Ford,1975,41
Gerald R. Ford,1976,50
Gerald R. Ford,1977,44
Jimmy Carter,1978,46
Jimmy Carter,1979,32
Jimmy Carter,1980,32
Ronald Reagan,1982,40
Ronald Reagan,1983,46
Ronald Reagan,1984,43
Ronald Reagan,1985,40
Ronald Reagan,1986,31
Ronald Reagan,1987,34
Ronald Reagan,1988,44
George Bush,1990,35
George Bush,1991,48
George Bush,1992,51
William J. Clinton,1994,63
William J. Clinton,1995,84
William J. Clinton,1996,66
William J. Clinton,1997,64
William J. Clinton,1998,76
William J. Clinton,1999,78
William J. Clinton,2000,88
George W. Bush,2002,47
George W. Bush,2003,59
George W. Bush,2004,53
George W. Bush,2005,53
George W. Bush,2006,51
George W. Bush,2007,49
George W. Bush,2008,52
Barack Obama,2010,69
Barack Obama,2011,61
Barack Obama,2012,64
Barack Obama,2013,59
Barack Obama,2014,65
Barack Obama,2015,59
Barack Obama,2016,58
Donald J. Trump,2018,80
Donald J. Trump,2019,82
Donald J. Trump,2020,78
Avg,,53.5
