presidency-start,presidency-end,nth-presdient,president,president-party,nominee,replace,nominated-date,vote,result,result-date,election-year-nomination,days-between-nominate-result,election-date,days-between-nominate-election,vacancy-date,days-between-vacancy-nominated,days-between-vacancy-result
04/30/1789,03/04/1797,1,George Washington,,"Blair, John",,09/24/1789,Voice Vote,Confirmed and served,09/26/1789,,2,11/02/1792,,,,
04/30/1789,03/04/1797,1,George Washington,,"Wilson, James",,09/24/1789,Voice Vote,Confirmed and served,09/26/1789,,2,11/02/1792,,,,
04/30/1789,03/04/1797,1,George Washington,,"Harrison, Robert",,09/24/1789,,Declined,09/26/1789,,2,11/02/1792,,,,
04/30/1789,03/04/1797,1,George Washington,,"Cushing, William",,09/24/1789,Voice Vote,Confirmed and served,09/26/1789,,2,11/02/1792,,,,
04/30/1789,03/04/1797,1,George Washington,,"Rutledge, John",,09/24/1789,Voice Vote,Confirmed and served,09/26/1789,,2,11/02/1792,,,,
04/30/1789,03/04/1797,1,George Washington,,"Jay, John 24",,09/24/1789,Voice Vote,Confirmed and served,09/26/1789,,2,11/02/1792,,,,
04/30/1789,03/04/1797,1,George Washington,,"Iredell, James",Harrison,02/08/1790,Voice Vote,Confirmed and served,02/10/1790,,2,11/02/1792,,,,
04/30/1789,03/04/1797,1,George Washington,,"Johnson, Thomas",Rutledge,10/31/1791,Voice Vote,Confirmed and served,11/07/1791,,7,11/02/1792,,,,
04/30/1789,03/04/1797,1,George Washington,,"Paterson, William",Johnson,02/27/1793,,Withdrawn,02/28/1793,,1,11/02/1792,,,,
04/30/1789,03/04/1797,1,George Washington,,"Paterson, William",Johnson,03/04/1793,Voice Vote,Confirmed and served,03/04/1793,,0,11/02/1792,,,,
04/30/1789,03/04/1797,1,George Washington,,"Rutledge, John 23",Jay,12/10/1795,10-14,Rejected,12/15/1795,,5,11/02/1792,,,,
04/30/1789,03/04/1797,1,George Washington,,"Chase, Samuel",Blair,01/26/1796,Voice Vote,Confirmed and served,01/27/1796,,1,11/02/1792,,,,
04/30/1789,03/04/1797,1,George Washington,,"Cushing, William 22",Jay,01/26/1796,,Declined,01/27/1796,,1,11/02/1792,,,,
04/30/1789,03/04/1797,1,George Washington,,"Ellsworth, Oliver21",Jay,03/03/1796,21-1,Confirmed and served,03/04/1796,,1,11/02/1792,,,,
03/04/1797,03/04/1801,2,John Adams,,"Washington, Bushrod",Wilson,12/19/1798,Voice Vote,Confirmed and served,12/20/1798,,1,11/04/1796,,,,
03/04/1797,03/04/1801,2,John Adams,,"Moore, Alfred",Iredell,12/04/1799,Voice Vote,Confirmed and served,12/10/1799,,6,11/04/1796,,,,
03/04/1797,03/04/1801,2,John Adams,,"Jay, John 20",Ellsworth,12/18/1800,,Declined,12/19/1800,,1,11/04/1796,,,,
03/04/1797,03/04/1801,2,John Adams,,"Marshall, John 19",Ellsworth,01/20/1801,Voice Vote,Confirmed and served,01/27/1801,,7,11/04/1796,,,,
03/04/1801,03/04/1809,3,Thomas Jefferson,,"Johnson, William",Moore,03/22/1804,Voice Vote,Confirmed and served,03/24/1804,,2,11/02/1804,,,,
03/04/1801,03/04/1809,3,Thomas Jefferson,,"Livingston, H. Brockholst",Paterson,12/13/1806,Voice Vote,Confirmed and served,12/17/1806,,4,11/02/1804,,,,
03/04/1801,03/04/1809,3,Thomas Jefferson,,"Todd, Thomas",(new seat),02/28/1807,Voice Vote,Confirmed and served,03/02/1807,,2,11/02/1804,,,,
03/04/1809,03/04/1817,4,James Madison,,"Lincoln, Levi",Cushing,01/02/1811,,Declined,01/03/1811,,1,11/04/1808,,,,
03/04/1809,03/04/1817,4,James Madison,,"Wolcott, Alexander",Cushing,02/04/1811,9-24,Rejected,02/13/1811,,9,11/04/1808,,,,
